tvo;num_voters;num_stations;description;city_neighborhood
1;157732;94;Центр: місто Сімферополь, Центральний район;Залізничний район міста Сімферополя з населеними пунктами Залізничної районної в місті Сімферополі ради, Центральний район міста Сімферополя
2;146693;98;Центр: місто Сімферополь, Київський район;Київський район міста Сімферополя з населеними пунктами Київської районної в місті Сімферополі ради, частина Сімферопольського району (виборчі дільниці № 010583 – 010595, 010601 – 010603, 010631 –010637, 010647, 010648)
3;157096;164;Центр: місто Джанкой;місто Джанкой, Джанкойський, Красногвардійський райони
4;171077;136;Центр: місто Євпаторія;міста Євпаторія з населеними пунктами Євпаторійської міської ради, Саки, Сакський район
5;138219;98;Центр: місто Керч;місто Керч, частина Ленінського району (виборчі дільниці № 010346 – 010350, 010352 – 010356, 010358, 010360, 010362, 010363, 010365, 010366, 010370 – 010374, 010379, 010380, 010382 – 010384)
6;145125;107;Центр: місто Феодосія;місто Феодосія з населеними пунктами Феодосійської міської ради, Кіровський район, частина Ленінського району (виборчі дільниці № 010343, 010357, 010359, 010364, 010367 – 010369, 010375, 010376, 010378, 010386 – 010394)
7;143851;105;Центр: місто Ялта;міста Алушта, Ялта з населеними пунктами Алуштинської та Ялтинської міських рад
8;142955;154;Центр: смт Совєтський;місто Судак з населеними пунктами Судацької міської ради, Білогірський, Нижньогірський, Совєтський райони, частина Сімферопольського району (виборчі дільниці № 010608, 010609, 010612 –010614)
9;141638;151;Центр: смт Первомайське;міста Армянськ з населеними пунктами Армянської міської ради, Красноперекопськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони
10;156729;130;Центр: місто Сімферополь;Бахчисарайський район, частина Сімферопольського району (виборчі дільниці № 010564 – 010582, 010596 – 010600, 010604 – 010607, 010610, 010611, 010615 – 010630, 010638 – 010646)
11;170236;112;Центр: місто Вінниця;частина міста Вінниці (виборчі дільниці № 051477 – 051547, 051575 – 051586), частина Вінницького району (виборчі дільниці № 050130 –050137, 050145, 050149, 050154 – 050156, 050161, 050162, 050164 – 050167, 050185 – 050192)
12;177067;115;Центр: місто Вінниця;частина міста Вінниці (виборчі дільниці № 051435 – 051476, 051548 – 051569, 051571 – 051574, 051587 – 051590, 051670), частина Вінницького району (виборчі дільниці № 050125 – 050129, 050138 – 050144, 050146 – 050148, 050150 – 050153, 050157 – 050160, 050163, 050168 – 050184)
13;152154;236;Центр: місто Калинівка;міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони
14;168048;271;Центр: місто Жмеринка;місто Жмеринка, Барський, Жмеринський, Літинський, Тиврівський райони
15;156448;215;Центр: місто Шаргород;Мурованокуриловецький, Томашпільський, Тульчинський, Чернівецький, Шаргородський райони
16;143871;197;Центр: місто Ямпіль;місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Піщанський, Чечельницький, Ямпільський райони
17;165147;216;Центр: місто Ладижин;місто Ладижин, Бершадський, Гайсинський, Теплицький, Тростянецький райони
18;141977;298;Центр: місто Іллінці;Іллінецький, Липовецький, Немирівський, Оратівський, Погребищенський райони
19;144487;222;Центр: місто Володимир-Волинський;міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони
20;157749;314;Центр: місто Горохів;Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони
21;155723;249;Центр: місто Ковель;місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони
22;157536;84;Центр: місто Луцьк;місто Луцьк
23;160139;262;Центр: смт Маневичі;Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони
24;157681;86;Центр: місто Дніпропетровськ, Самарський район;Індустріальний район, частина Самарського району міста Дніпропетровська виборчі дільниці № 121444 – 121463, 121467 – 121479, 121481)
25;145409;81;Центр: місто Дніпропетровськ, Красногвардійський район;частина Амур-Нижньодніпровського району (виборчі дільниці № 121063, 121064, 121071 – 121077, 121084, 121087 – 121103), Красногвардійський район міста Дніпропетровська
26;143081;75;Центр: місто Дніпропетровськ, Бабушкінський район;Бабушкінський район, частина Кіровського району міста Дніпропетровська (виборчі дільниці № 121286 – 121291, 121293 – 121298, 121310 – 121315), смт Авіаторське Дніпропетровської міської ради
27;141932;86;Центр: місто Дніпропетровськ, Жовтневий район;Жовтневий район, частина Кіровського (виборчі дільниці № 121299 – 121309, 121316, 121317), частина Самарського (виборчі дільниці № 121464 – 121466, 121480) районів міста Дніпропетровська
28;146359;77;Центр: місто Дніпропетровськ, Ленінський район;Ленінський район міста Дніпропетровська, частина Амур-Нижньодніпровського району (виборчі дільниці № 121059 – 121062)
29;146039;86;Центр: Дніпропетровський район, смт Ювілейне;частина Амур-Нижньодніпровського району міста Дніпропетровська (виборчі дільниці № 121046 – 121058, 121065 – 121070, 121078 – 121083, 121085, 121086, 121104), Дніпропетровський, Петриківський райони
30;163910;83;Центр: місто Дніпродзержинськ, Заводський район;Баглійський, Дніпровський райони, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121012 – 121021, 121028, 121030, 121036 – 121038, 121040 – 121043)
31;172746;98;Центр: місто Кривий Ріг, Жовтневий район;Жовтневий район, частина Тернівського району міста Кривого Рогу (виборчі дільниці № 121694 – 121728, 121730 – 121733, 121780), селища Гірницьке, Коломійцеве, села Новоіванівка, Тернуватий Кут Криворізької міської ради
32;173835;92;Центр: місто Кривий Ріг, Довгинцівський район;Довгинцівський район, частина Саксаганського району (виборчі дільниці № 121638 – 121683, 121690 – 121693) міста Кривого Рогу
33;148177;88;Центр: місто Кривий Ріг, Центрально-Міський район;Дзержинський район, частина Інгулецького (виборчі дільниці № 121611 – 121619, 121636), частина Саксаганського (виборчі дільниці № 121684 – 121689) районів, Центрально-Міський район міста Кривого Рогу, селище Авангард Криворізької міської ради
34;156272;137;Центр: смт Царичанка;міста Вільногірськ, Жовті Води, Верхньодніпровський, П’ятихатський, Царичанський райони
35;168766;112;Центр: місто Нікополь;міста Нікополь, Орджонікідзе, Нікопольський район
36;157557;104;Центр: місто Павлоград;міста Павлоград, Першотравенськ, Тернівка, Павлоградський район
37;152887;146;Центр: місто Кривий Ріг;частина Інгулецького (виборчі дільниці № 121620 – 121635, 121637), частина Тернівського (виборча дільниця № 121729) районів міста Кривого Рогу, Апостолівський, Криворізький, Софіївський, Широківський райони
38;149013;137;Центр: місто Новомосковськ;місто Новомосковськ, Магдалинівський, Новомосковський, Юр’ївський райони
39;153188;157;Центр: смт Васильківка;місто Синельникове, Васильківський, Межівський, Петропавлівський, Покровський, Синельниківський райони
40;147371;129;Центр: смт Кринички;місто Марганець, частина Заводського району міста Дніпродзержинська (виборчі дільниці № 121022 – 121027, 121029, 121031 –121035, 121039, 121044, 121045), Криничанський, Солонянський, Томаківський райони
41;145618;88;Центр: місто Донецьк, Будьонівський район;Будьонівський, Пролетарський райони міста Донецька
42;139708;86;Центр: місто Донецьк, Ворошиловський район;Ворошиловський, Калінінський райони, частина Куйбишевського району міста Донецька (виборчі дільниці № 141833, 141836 – 141842)
