tvo;num_voters;num_stations;description;city_neighborhood
1;158770;94;Центр: місто Сімферополь, Залізничний район;Центральний, Залізничний райони в місті Сімферополі
2;120785;73;Центр: місто Сімферополь, Київський район;Київський район у місті Сімферополі
3;157628;164;Центр: місто Джанкой;місто Джанкой, Джанкойський, Красногвардійський райони
4;172139;136;Центр: місто Євпаторія;міста Євпаторія, Саки, Сакський район
5;162740;117;Центр: місто Керч;місто Керч, Ленінський район
6;147054;111;Центр: місто Феодосія;міста Феодосія, Судак, Кіровський район
7;144711;105;Центр: місто Ялта;міста Ялта, Алушта
8;112963;126;Центр: смт Совєтський;Білогірський, Нижньогірський, Совєтський райони
9;142324;151;Центр: смт Роздольне;міста Красноперекопськ, Армянськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони
10;189724;160;Центр: місто Сімферополь;Сімферопольський, Бахчисарайський райони
11;193056;112;Центр: місто Вінниця;території колишніх Ленінського та Староміського районів у місті Вінниці
12;152000;115;Центр: місто Вінниця;територія колишнього Замостянського району у місті Вінниці, Вінницький район
13;152202;236;Центр: місто Калинівка;міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони
14;155938;260;Центр: місто Жмеринка;місто Жмеринка, Барський, Жмеринський, Літинський, Мурованокуриловецький райони
15;149362;287;Центр: місто Іллінці;Гайсинський, Іллінецький, Липовецький, Оратівський, Погребищенський райони
16;162459;236;Центр: місто Немирів;Немирівський, Тиврівський, Тульчинський, Шаргородський райони
17;154686;202;Центр: смт Тростянець;місто Ладижин, Бершадський, Піщанський, Теплицький, Тростянецький, Чечельницький райони
18;155955;214;Центр: місто Ямпіль;місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Томашпільський, Чернівецький, Ямпільський райони
19;144691;222;Центр: місто Володимир-Волинський;міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони
20;157614;314;Центр: місто Горохів;Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони
21;155729;249;Центр: місто Ковель;місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони
22;157805;83;Центр: місто Луцьк;місто Луцьк
23;159943;261;Центр: смт Маневичі;Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони
24;125981;59;Центр: місто Дніпропетровськ, Амур-Нижньодніпровський район;Амур-Нижньодніпровський район у місті Дніпропетровську
25;164274;90;Центр: місто Дніпропетровськ, Індустріальний район;Індустріальний, Самарський райони в місті Дніпропетровську
26;117718;69;Центр: місто Дніпропетровськ, Жовтневий район;Жовтневий район у місті Дніпропетровську
27;112197;57;Центр: місто Дніпропетровськ, Бабушкінський район;Бабушкінський район у місті Дніпропетровську, смт Авіаторське Дніпропетровської міської ради
28;139899;86;Центр: місто Дніпропетровськ, Красногвардійський район;Красногвардійський, Кіровський райони в місті Дніпропетровську
29;137133;73;Центр: місто Дніпропетровськ, Ленінський район;Ленінський район у місті Дніпропетровську
30;194455;98;Центр: місто Дніпродзержинськ;місто Дніпродзержинськ, смт Карнаухівка, селище Світле Баглійської районної в місті Дніпродзержинську ради
31;175110;99;Центр: місто Кривий Ріг, Жовтневий район;Жовтневий, Тернівський райони в місті Кривому Розі, селища Гірницьке, Коломійцеве, села Новоіванівка і Тернуватий Кут Криворізької міської ради
32;186179;98;Центр: місто Кривий Ріг, Саксаганський район;Саксаганський, Довгинцівський райони міста Кривого Рогу
33;165735;99;Центр: місто Кривий Ріг, Дзержинський район;Дзержинський, Інгулецький, Центрально-Міський райони в місті Кривому Розі, селище Авангард Криворізької міської ради
34;135160;112;Центр: місто Верхньодніпровськ;Верхньодніпровський, П'ятихатський райони, міста Вільногірськ, Жовті Води, село Суха Балка Жовтоводської міської ради
35;173964;116;Центр: місто Нікополь;Нікопольський район, міста Марганець, Нікополь, смт Мар'ївка, селище Максимівка Марганецької міської ради
36;193274;144;Центр: місто Павлоград;Павлоградський, Петропавлівський, Юр'ївський райони, міста Павлоград, Першотравенськ, Тернівка, село Зелена Долина Тернівської міської ради
37;158155;150;Центр: місто Апостолове;Апостолівський, Криворізький, Софіївський, Широківський райони, місто Орджонікідзе, селища міського типу Гірницьке, Чортомлик Орджонікідзевської міської ради
38;181200;161;Центр: смт Царичанка;місто Новомосковськ, Магдалинівский, Новомосковський, Петриківський, Царичанський райони
39;129713;132;Центр: смт Васильківка;місто Синельникове, Васильківський, Межівський, Покровський, Синельниківський райони
40;148131;133;Центр: смт Кринички;Дніпропетровський, Криничанський, Солонянський, Томаківський райони
41;146368;88;Центр: місто Донецьк, Будьоннівський район;Будьоннівський, Пролетарський райони в місті Донецьку
42;127093;80;Центр: місто Донецьк, Ворошиловський район;Ворошиловський, Калінінський райони в місті Донецьку
43;152690;99;Центр: місто Донецьк, Куйбишевський район;Куйбишевський, Ленінський райони в місті Донецьку
44;173378;106;Центр: місто Донецьк, Кіровський район;Кіровський, Петровський райони в місті Донецьку
45;166246;110;Центр: місто Донецьк, Київський район;Ясинуватський район, Київський район у місті Донецьку, міста Авдіївка, Ясинувата
46;153706;153;Центр: місто Артемівськ;міста Артемівськ, Красний Лиман, Артемівський, Краснолиманський райони
47;142367;114;Центр: смт Олександрівка;Слов'янський, Олександрівський райони, місто Слов'янськ
48;154251;89;Центр: місто Краматорськ;місто Краматорськ
49;153667;109;Центр: місто Добропілля;Добропільський район, міста Димитров, Добропілля, Дружківка
50;161651;137;Центр: місто Красноармійськ;Костянтинівський, Красноармійський райони, міста Костянтинівка, Красноармійськ
51;144676;95;Центр: місто Горлівка, Центрально-Міський район;Микитівський, Центрально-Міський райони в місті Горлівці
52;158003;109;Центр: місто Горлівка, Калінінський район;Калінінський район у місті Горлівці, міста Дебальцеве, Дзержинськ
53;134946;95;Центр: місто Єнакієве;міста Єнакієве, Жданівка, Кіровське
54;130933;115;Центр: місто Торез;Шахтарський район, міста Сніжне, Торез
55;134517;95;Центр: місто Шахтарськ;міста Харцизьк, Шахтарськ
56;129467;98;Центр: місто Макіївка, Гірницький район;Гірницький, Совєтський райони в місті Макіївці
57;162346;113;Центр: місто Макіївка, Кіровський район;Кіровський, Центрально-Міський, Червоногвардійський райони в місті Макіївці
58;167801;116;Центр: місто Маріуполь, Орджонікідзевський район;Іллічівський, Орджонікідзевський райони в місті Маріуполі
59;168676;100;Центр: місто Маріуполь, Жовтневий район;Жовтневий, Приморський райони в місті Маріуполі
60;154867;148;Центр: смт Великоновосілківка;Великоновосілківський, Мар'їнський райони, міста Новогродівка, Селидове
61;142864;123;Центр: місто Волноваха;Волноваський, Володарський, Першотравневий райони, міста Вугледар, Докучаєвськ
62;129103;140;Центр: смт Старобешеве;Амвросіївський, Новоазовський, Старобешівський, Тельманівський райони
63;211252;124;Центр: місто Житомир, Корольовський район;Богунський, Корольовський райони в місті Житомирі
64;164416;248;Центр: місто Бердичів;Бердичівський, Любарський, Романівський, Чуднівський райони, місто Бердичів
65;164059;305;Центр: місто Коростень;Коростенський, Лугинський, Овруцький, Олевський райони, місто Коростень
66;156369;278;Центр: місто Новоград-Волинський;Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони, місто Новоград-Волинський
67;157419;267;Центр: місто Малин;Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони, місто Малин
68;141635;237;Центр: місто Андрушівка;Андрушівський, Брусилівський, Житомирський, Попільнянський, Ружинський райони
69;154329;143;Центр: місто Ужгород;Ужгородський район, міста Ужгород, Чоп
70;139512;124;Центр: місто Мукачеве;Мукачівський район, місто Мукачеве
71;142025;181;Центр: місто Свалява;Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони
72;171366;127;Центр: місто Хуст;Іршавський, Хустський райони, місто Хуст
73;195648;116;Центр: місто Тячів;Рахівський, Тячівський райони
74;149287;114;Центр: місто Берегове;Берегівський, Виноградівський райони, місто Берегове
75;161005;83;Центр: місто Запоріжжя, Комунарський район;Жовтневий, Комунарський райони в місті Запоріжжі
76;161996;80;Центр: місто Запоріжжя, Ленінський район;Заводський, Ленінський райони в місті Запоріжжі
