power	self_proposition	perc_for	max_result	earlier_winner
1	0	38.76	38.76	0
0	1	17.98	38.76	0
0	0	10.58	38.76	0
0	0	9.12	38.76	0
0	0	6.71	38.76	0
0	0	6.22	38.76	0
0	0	2.28	38.76	0
0	0	1.55	38.76	0
0	0	1.17	38.76	0
0	1	0.88	38.76	0
0	0	0.76	38.76	0
0	1	0.69	38.76	0
0	0	0.68	38.76	0
0	1	0.61	38.76	0
0	0	0.49	38.76	0
0	0	0.43	38.76	0
0	0	0.39	38.76	0
0	0	0.29	38.76	0
0	0	0.17	38.76	0
0	0	0.15	38.76	0
0	0	36.45	36.45	1
0	0	27.13	36.45	0
0	0	8.82	36.45	0
0	0	6.11	36.45	0
0	0	4.12	36.45	0
0	0	3.12	36.45	0
0	0	2.1	36.45	0
0	0	1.45	36.45	0
0	1	1.4	36.45	0
0	1	1.36	36.45	0
0	0	1.34	36.45	0
0	0	1.16	36.45	0
0	0	1.12	36.45	0
0	0	0.93	36.45	0
0	0	0.73	36.45	0
0	0	0.65	36.45	0
0	0	0.59	36.45	0
0	0	0.56	36.45	0
0	0	0.41	36.45	0
0	0	0.36	36.45	0
1	0	50.37	50.37	0
0	1	20.48	50.37	1
0	0	9.36	50.37	0
0	0	9.28	50.37	0
0	0	1.11	50.37	0
0	0	1.08	50.37	0
0	0	1.03	50.37	0
0	0	0.97	50.37	0
0	0	0.94	50.37	0
0	1	0.66	50.37	0
0	0	0.61	50.37	0
0	0	0.51	50.37	0
0	0	0.49	50.37	0
0	0	0.47	50.37	0
0	0	0.45	50.37	0
0	0	0.44	50.37	0
0	0	0.42	50.37	0
0	0	0.35	50.37	0
0	1	0.31	50.37	0
0	0	0.3	50.37	0
0	1	0.26	50.37	0
1	0	34.0	34.0	0
0	1	27.76	34.0	0
0	0	7.07	34.0	0
0	1	5.67	34.0	1
0	1	4.62	34.0	0
0	0	3.97	34.0	0
0	0	3.64	34.0	0
0	1	3.31	34.0	0
0	0	1.25	34.0	0
0	0	1.09	34.0	0
0	0	0.94	34.0	0
0	0	0.93	34.0	0
0	0	0.92	34.0	0
0	0	0.84	34.0	0
0	0	0.83	34.0	0
0	0	0.51	34.0	0
0	0	0.45	34.0	0
0	1	0.43	34.0	0
0	0	0.3	34.0	0
0	0	0.3	34.0	0
0	0	0.3	34.0	0
0	0	0.29	34.0	0
0	0	0.24	34.0	0
0	0	0.21	34.0	0
1	0	41.81	41.81	0
0	0	19.74	41.81	0
0	0	14.52	41.81	0
0	0	6.1	41.81	0
0	1	4.18	41.81	0
0	1	1.88	41.81	0
0	0	1.58	41.81	0
0	0	1.5	41.81	0
0	1	1.4	41.81	0
0	0	1.16	41.81	0
0	0	1.14	41.81	0
0	0	1.13	41.81	0
0	0	0.99	41.81	0
0	0	0.8	41.81	0
0	0	0.6	41.81	0
0	0	0.57	41.81	0
0	0	0.54	41.81	0
0	0	0.26	41.81	0
1	0	60.01	60.01	0
0	0	10.96	60.01	0
0	0	8.68	60.01	0
0	0	4.24	60.01	0
0	0	4.11	60.01	0
0	1	2.12	60.01	0
0	1	1.4	60.01	0
0	0	1.1	60.01	0
0	0	1.02	60.01	0
0	0	1.01	60.01	0
0	0	1.0	60.01	0
0	0	0.78	60.01	0
0	0	0.77	60.01	0
0	0	0.62	60.01	0
0	0	0.59	60.01	0
