deputat	winner	year	oblast	tvo
Дзоз Віталіна Олексіївна 	True	2012	Автономна Республіка Крим	№1
Грач Леонід Іванович 	False	2012	Автономна Республіка Крим	№1
Соломахін Олег Андрійович 	False	2012	Автономна Республіка Крим	№1
Аксенов Сергій Валерійович 	False	2012	Автономна Республіка Крим	№1
Доценко Сергій Миколайович 	False	2012	Автономна Республіка Крим	№1
Лобачев Сергій Миколайович 	False	2012	Автономна Республіка Крим	№1
Семенова Лариса Іванівна 	False	2012	Автономна Республіка Крим	№1
Толкачов Володимир Володимирович 	False	2012	Автономна Республіка Крим	№1
Пузако Володимир Іванович 	False	2012	Автономна Республіка Крим	№1
Волков Олександр Петрович 	False	2012	Автономна Республіка Крим	№1
Вольнюк Олександр Григорович 	False	2012	Автономна Республіка Крим	№1
Веселовський Сергій Михайлович 	False	2012	Автономна Республіка Крим	№1
Литвинов Анатолій Анатолійович 	False	2012	Автономна Республіка Крим	№1
Чолак Віктор Петрович 	False	2012	Автономна Республіка Крим	№1
Фесенко Сергій Вікторович 	False	2012	Автономна Республіка Крим	№1
Бондаренко Володимир Анатолійович 	False	2012	Автономна Республіка Крим	№1
Жудєєв Дмитро Олександрович 	False	2012	Автономна Республіка Крим	№1
Басараб Віталій Геннадійович 	False	2012	Автономна Республіка Крим	№1
Островський Петро Сергович 	False	2012	Автономна Республіка Крим	№1
Лазебніков Сергій Юрійович 	False	2012	Автономна Республіка Крим	№1
Миримський Лев Юлійович 	True	2012	Автономна Республіка Крим	№2
Кіскін Степан Степанович 	False	2012	Автономна Республіка Крим	№2
Сидорова Абіба Іскандарівна 	False	2012	Автономна Республіка Крим	№2
Калюбін Юрій Олексійович 	False	2012	Автономна Республіка Крим	№2
Спірідонов Олександр Юрійович 	False	2012	Автономна Республіка Крим	№2
Аксьонова Надія Вікторівна 	False	2012	Автономна Республіка Крим	№2
Лось Анатолій Миколайович 	False	2012	Автономна Республіка Крим	№2
Андрєєва Яна Сергіївна 	False	2012	Автономна Республіка Крим	№2
Петров Анатолій Іванович 	False	2012	Автономна Республіка Крим	№2
Януцик Олексій Юрійович 	False	2012	Автономна Республіка Крим	№2
Гордієнко Сергій Володимирович 	False	2012	Автономна Республіка Крим	№2
Щербакова Ангеліна Миколаївна 	False	2012	Автономна Республіка Крим	№2
Куценко Сергій Володимирович 	False	2012	Автономна Республіка Крим	№2
Белов Дмитро Юрійович 	False	2012	Автономна Республіка Крим	№2
Пруденко Юрій Валентинович 	False	2012	Автономна Республіка Крим	№2
Горенкін Валерій Анатолійович 	False	2012	Автономна Республіка Крим	№2
Золотарьов Павло Олександрович 	False	2012	Автономна Республіка Крим	№2
Судраб Андрій Володимирович 	False	2012	Автономна Республіка Крим	№2
Міхайлутіна Ніна Петрівна 	False	2012	Автономна Республіка Крим	№2
Новіков Віталій Сергійович 	False	2012	Автономна Республіка Крим	№2
Нетецька Олена Анатоліївна 	True	2012	Автономна Республіка Крим	№3
Шкляр Володимир Борисович 	False	2012	Автономна Республіка Крим	№3
Гавриш Микола Миколайович 	False	2012	Автономна Республіка Крим	№3
Багатирли Еміне Бахтіярівна 	False	2012	Автономна Республіка Крим	№3
Матюшенко Юрій Федорович 	False	2012	Автономна Республіка Крим	№3
П’яних Микола Васильович 	False	2012	Автономна Республіка Крим	№3
Болтян Олександр Олексійович 	False	2012	Автономна Республіка Крим	№3
Бушковський Яків Гаррієвич 	False	2012	Автономна Республіка Крим	№3
Федоров Едуард Анатолійович 	False	2012	Автономна Республіка Крим	№3
Рижак Олександр Миколайович 	False	2012	Автономна Республіка Крим	№3
Гаврилюк Олена Анатоліївна 	False	2012	Автономна Республіка Крим	№3
Міщенко Олександр Валентинович 	False	2012	Автономна Республіка Крим	№3
Петрик Сергій Михайлович 	False	2012	Автономна Республіка Крим	№3
Кудінова Юлія Сергіївна 	False	2012	Автономна Республіка Крим	№3
Мирочников Яков Михайлович 	False	2012	Автономна Республіка Крим	№3
Чимпоєш Андрій Михайлович 	False	2012	Автономна Республіка Крим	№3
Тарасенко Олександр Георгійович 	False	2012	Автономна Республіка Крим	№3
Дузь Вікторія Вікторівна 	False	2012	Автономна Республіка Крим	№3
Кісієва Людмила Олександрівна 	False	2012	Автономна Республіка Крим	№3
Пилипенко Віталій Федорович 	False	2012	Автономна Республіка Крим	№3
Денисенко Олександр Петрович 	False	2012	Автономна Республіка Крим	№3
Парасків Олег Дмитрович 	True	2012	Автономна Республіка Крим	№4
Котляревський Микола Миколайович 	False	2012	Автономна Республіка Крим	№4
Білошицький Кирило Леонідович 	False	2012	Автономна Республіка Крим	№4
Раханський Анатолій Варфоломійович 	False	2012	Автономна Республіка Крим	№4
Шкабєрін Володимир Миколайович 	False	2012	Автономна Республіка Крим	№4
Прадун Валентин Пантелійович 	False	2012	Автономна Республіка Крим	№4
Гафич Ігор Васильович 	False	2012	Автономна Республіка Крим	№4
Лутьєв Володимир Григорович 	False	2012	Автономна Республіка Крим	№4
Шевцов Василь Дмитрович 	False	2012	Автономна Республіка Крим	№4
Акопова Світлана Миколаївна 	False	2012	Автономна Республіка Крим	№4
Виноградов Володимир Петрович 	False	2012	Автономна Республіка Крим	№4
Колесник Віктор Олександрович 	False	2012	Автономна Республіка Крим	№4
Кочармін Олексій Олексійович 	False	2012	Автономна Республіка Крим	№4
Шпаченко Оксана Онілівна 	False	2012	Автономна Республіка Крим	№4
Яковлєв Олександр Володимирович 	False	2012	Автономна Республіка Крим	№4
Польченко Андрій Григорійович 	False	2012	Автономна Республіка Крим	№4
Юрченко Валентина Семенівна 	False	2012	Автономна Республіка Крим	№4
Крачун Сергій Володимирович 	False	2012	Автономна Республіка Крим	№4
Гриб Анатолій Миколайович 	False	2012	Автономна Республіка Крим	№4
Дмитрієв Павло Олександрович 	False	2012	Автономна Республіка Крим	№4
Пудов Петро Петрович 	False	2012	Автономна Республіка Крим	№4
Павлів Ігор Володимирович 	False	2012	Автономна Республіка Крим	№4
Матящук Володимир Петрович 	False	2012	Автономна Республіка Крим	№4
Нірський Олександр Михайлович 	False	2012	Автономна Республіка Крим	№4
Лютікова Валентина Іванівна 	True	2012	Автономна Республіка Крим	№5
Желтенко Іван Миколайович 	False	2012	Автономна Республіка Крим	№5
Сагайдак Ілля Вадимович 	False	2012	Автономна Республіка Крим	№5
Стебловський Микола Михайлович 	False	2012	Автономна Республіка Крим	№5
