,Передвиборна програма,ПІБ,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
0,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17306pd410f01=27.doc,Бевз Світлана Володимирівна,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",11,-, ,20.06.2019,Самовисування,Вінницька область
1,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18708pd410f01=27.doc,Гижко Андрій Петрович,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",11,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Вінницька область
2,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19530pd410f01=27.doc,Горлачов Ігор Ярославович,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",11,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька область
3,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20274pd410f01=27.doc,Давиденко Ганна Віталіївна,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",11,-, ,24.06.2019,Самовисування,Вінницька область
4,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15335pd410f01=27.doc,Кістіон Володимир Євсевійович,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",11,-, ,12.06.2019,Самовисування,Вінницька область
5,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21186pd410f01=27.doc,Ковальов Андрій Євгенійович,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька область
6,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19890pd410f01=27.doc,Кудлаєнко Сергій Володимирович,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",11,-, ,24.06.2019,Самовисування,Вінницька область
7,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21393pd410f01=27.doc,Лепей Олена Володимирівна,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",11,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Вінницька область
8,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21027pd410f01=27.doc,Пашковський Максим Ігорович,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",11,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька область
9,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19319pd410f01=27.doc,Приходько Анастасія Костянтинівна,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",11,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область
