deputat,partia,oblast,tvo,year
Воюш Володимир Дмитрович,СДПУ(о),Автономна Республіка Крим,№1,2002
Миримський Лев Юлійович,Самовисування,Автономна Республіка Крим,№2,2002
Іванов Сергій Анатолійович,Самовисування,Автономна Республіка Крим,№3,2002
Раханський Анатолій Варфоломійович,Самовисування,Автономна Республіка Крим,№4,2002
Мироненко Віктор Андрійович,Комуністична партія України,Автономна Республіка Крим,№5,2002
Горбатов Валерій Миронович,Самовисування,Автономна Республіка Крим,№6,2002
Франчук Ігор Анатолійович,Самовисування,Автономна Республіка Крим,№7,2002
Шкляр Володимир Борисович,Самовисування,Автономна Республіка Крим,№8,2002
Євдокимов Валерій Олександрович,СДПУ(о),Автономна Республіка Крим,№9,2002
Франчук Анатолій Романович,Самовисування,Автономна Республіка Крим,№10,2002
Антемюк Віктор Дмитрович,Самовисування,Вінницька область,№11,2002
Порошенко Петро Олексійович,Блок Віктора Ющенка «Наша Україна»,Вінницька область,№12,2002
Катеринчук Микола Дмитрович,Самовисування,Вінницька область,№13,2002
Майстришин Володимир Якович,Самовисування,Вінницька область,№14,2002
Калетнік Григорій Миколайович,Блок «За єдину Україну!»,Вінницька область,№15,2002
Кальніченко Ігор Вікторович,Блок «За єдину Україну!»,Вінницька область,№16,2002
Сокирко Микола Васильович,Блок Віктора Ющенка «Наша Україна»,Вінницька область,№17,2002
Одайник Микола Миколайович,Соціалістична партія України,Вінницька область,№18,2002
Слабенко Сергій Іванович,Блок Віктора Ющенка «Наша Україна»,Волинська область,№19,2002
Бондарчук Сергій Васильович,Блок Віктора Ющенка «Наша Україна»,Волинська область,№20,2002
Мартиненко Микола Володимирович,Самовисування,Волинська область,№21,2002
Бондар Володимир Налькович,Блок Віктора Ющенка «Наша Україна»,Волинська область,№22,2002
Єремеєв Ігор Миронович,Блок «За єдину Україну!»,Волинська область,№23,2002
Клименко Анатолій Володимирович,Самовисування,Дніпропетровська область,№24,2002
Бичков Сергій Анатолійович,Самовисування,Дніпропетровська область,№25,2002
Пінчук Віктор Михайлович,Самовисування,Дніпропетровська область,№26,2002
Сергієнко Леонід Григорович,Самовисування,Дніпропетровська область,№27,2002
Веретенников Віктор Олександрович,Самовисування,Дніпропетровська область,№28,2002
Косьяненко Олександр Володимирович,Самовисування,Дніпропетровська область,№29,2002
Анісімов В'ячеслав Олександрович,Комуністична партія України,Дніпропетровська область,№30,2002
Мовчан Володимир Петрович,Блок «За єдину Україну!»,Дніпропетровська область,№31,2002
Гуров Вадим Миколайович,Самовисування,Дніпропетровська область,№32,2002
Сміяненко Ігор Миколайович,Самовисування,Дніпропетровська область,№33,2002
Колісник Микола Дмитрович,Самовисування,Дніпропетровська область,№34,2002
Драчевський Віктор Васильович,Самовисування,Дніпропетровська область,№35,2002
Деркач Леонід Васильович,Блок «За єдину Україну!»,Дніпропетровська область,№36,2002
Касьянов Сергій Павлович,Самовисування,Дніпропетровська область,№37,2002
Солошенко Микола Павлович,Самовисування,Дніпропетровська область,№38,2002
Шевченко Олександр Олександрович,Блок «За єдину Україну!»,Дніпропетровська область,№39,2002
Царьов Олег Анатолійович,Самовисування,Дніпропетровська область,№40,2002
Богатирьова Раїса Василівна,Блок «За єдину Україну!»,Донецька область,№41,2002
Бахтеєва Тетяна Дмитрівна,Блок «За єдину Україну!»,Донецька область,№42,2002
Звягільський Юхим Леонідович,Блок «За єдину Україну!»,Донецька область,№43,2002
Ландик Валентин Іванович,Блок «За єдину Україну!»,Донецька область,№44,2002
Рибак Володимир Васильович,Блок «За єдину Україну!»,Донецька область,№45,2002
Клюєв Андрій Петрович,Блок «За єдину Україну!»,Донецька область,№46,2002
Панасовський Олег Григорович,Комуністична партія України,Донецька область,№47,2002
Янковський Микола Андрійович,Блок «За єдину Україну!»,Донецька область,№48,2002
Байсаров Леонід Володимирович,Блок «За єдину Україну!»,Донецька область,№49,2002
Корсаков Олексій Якович,Самовисування,Донецька область,№50,2002
Комар Микола Степанович,Блок «За єдину Україну!»,Донецька область,№51,2002
Скудар Георгій Маркович,Блок «За єдину Україну!»,Донецька область,№52,2002
Хомутиннік Віталій Юрійович,Блок «За єдину Україну!»,Донецька область,№53,2002
Авраменко Володимир Федорович,Блок «За єдину Україну!»,Донецька область,№54,2002
Матвієнков Сергій Анатолійович,Блок «За єдину Україну!»,Донецька область,№55,2002
Колоніарі Олександр Петрович,Блок «За єдину Україну!»,Донецька область,№56,2002
Шкіря Ігор Миколайович,Блок «За єдину Україну!»,Донецька область,№57,2002
Лєщинський Олександр Олегович,Блок «За єдину Україну!»,Донецька область,№58,2002
Турманов Віктор Іванович,Самовисування,Донецька область,№59,2002
Зубанов Володимир Олександрович,Блок «За єдину Україну!»,Донецька область,№60,2002
Васильєв Геннадій Андрійович,Самовисування,Донецька область,№61,2002
Васильєв Олександр Андрійович,Самовисування,Донецька область,№61,2002
Коновалюк Валерій Ілліч,Блок «За єдину Україну!»,Донецька область,№62,2002
Слаута Віктор Андрійович,Блок «За єдину Україну!»,Донецька область,№63,2002
Сацюк Володимир Миколайович,Блок «Демократична партія України — Демократичний союз»,Житомирська область,№64,2002
Жебрівський Павло Іванович,Самовисування,Житомирська область,№65,2002
Матвієнко Павло Володимирович,Партія національно-економічного розвитку України,Житомирська область,№66,2002
Савицький Валентин Вікторович,Самовисування,Житомирська область,№67,2002
Писаренко Анатолій Григорович,Самовисування,Житомирська область,№68,2002
Развадовський Віктор Йосипович,Самовисування,Житомирська область,№69,2002
Ратушняк Сергій Миколайович,Самовисування,Закарпатська область,№70,2002
Балога Віктор Іванович,Самовисування,Закарпатська область,№71,2002
Гайдош Іштван Ференцович,СДПУ(о),Закарпатська область,№72,2002
Кеменяш Олександр Михайлович,Самовисування,Закарпатська область,№73,2002
Сятиня Михайло Лукович,Самовисування,Закарпатська область,№74,2002
Климпуш Орест Дмитрович,Самовисування,Закарпатська область,№75,2002
Сабашук Петро Павлович,Блок Віктора Ющенка «Наша Україна»,Запорізька область,№76,2002
Артеменко Юрій Анатолійович,Самовисування,Запорізька область,№77,2002
Горлов Геннадій Васильович,Блок «За єдину Україну!»,Запорізька область,№78,2002
Сухий Ярослав Михайлович,Самовисування,Запорізька область,№79,2002
Бастрига Іван Михайлович,Блок «За єдину Україну!»,Запорізька область,№80,2002
Бронніков Володимир Костянтинович,Блок «За єдину Україну!»,Запорізька область,№81,2002
Олексенко Олег Іванович,Блок Віктора Ющенка «Наша Україна»,Запорізька область,№82,2002
Хмельницький Василь Іванович,Самовисування,Запорізька область,№82,2002
Мороз Анатолій Миколайович,Комуністична партія України,Запорізька область,№83,2002
Пеклушенко Олександр Миколайович,Блок «За єдину Україну!»,Запорізька область,№84,2002
Круць Микола Федорович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№85,2002
Насалик Ігор Степанович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№86,2002
Мойсик Володимир Романович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№87,2002
Ткач Роман Володимирович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№88,2002
Гірник Євген Олексійович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№89,2002
Зварич Роман Михайлович,Блок Віктора Ющенка «Наша Україна»,Івано-Франківська область,№90,2002
Рудковський Дмитро Олександрович,Самовисування,Київська область,№91,2002
Бондаренко Григорій Іванович,Блок «За єдину Україну!»,Київська область,№92,2002
Сівкович Володимир Леонідович,Самовисування,Київська область,№93,2002
Засуха Тетяна Володимирівна,Самовисування,Київська область,№94,2002
Жовтяк Євген Дмитрович,Блок Віктора Ющенка «Наша Україна»,Київська область,№95,2002
Осика Сергій Григорович,Самовисування,Київська область,№96,2002
Бойко Юрій Анатолійович,Блок Віктора Ющенка «Наша Україна»,Київська область,№97,2002
Поліщук Кирило Ананійович,Самовисування,Київська область,№98,2002
Антоньєва Ганна Петрівна,Самовисування,Кіровоградська область,№99,2002
Біловол Олександр Миколайович,Блок «Демократична партія України — Демократичний союз»,Кіровоградська область,№100,2002
Поплавський Михайло Михайлович,Самовисування,Кіровоградська область,№101,2002
Бойко Віктор Олексійович,Блок «За єдину Україну!»,Кіровоградська область,№102,2002
Єдін Олександр Йосипович,Блок «За єдину Україну!»,Кіровоградська область,№103,2002
Надрага Василь Іванович,Блок «За єдину Україну!»,Луганська область,№104,2002
Мельников Микола Петрович,СДПУ(о),Луганська область,№105,2002
Цкітішвілі Енвер Омарович,Блок «За єдину Україну!»,Луганська область,№106,2002
Кириллов Віктор Дмитрович,Самовисування,Луганська область,№107,2002
Кириченко Людмила Федорівна,Блок «За єдину Україну!»,Луганська область,№108,2002
Сінченко Сергій Григорович,Комуністична партія України,Луганська область,№109,2002
Будаг'янц Микола Абрамович,Блок «За єдину Україну!»,Луганська область,№110,2002
Астров-Шумілов Геннадій Костянтинович,Блок «За єдину Україну!»,Луганська область,№111,2002
Іоффе Юлій Якович,Самовисування,Луганська область,№112,2002
Гапочка Микола Михайлович,Блок «За єдину Україну!»,Луганська область,№113,2002
Фоменко Катерина Олександрівна,Блок «За єдину Україну!»,Луганська область,№114,2002
Тополов Віктор Семенович,Самовисування,Луганська область,№115,2002
