deputat,partia,perc_for,votes_for,tvo,oblast,year
Дзоз Віталіна Олексіївна , Партія регіонів,38.76,27937,№1,Автономна Республіка Крим,2012
Грач Леонід Іванович , самовисування,17.98,12960,№1,Автономна Республіка Крим,2012
Соломахін Олег Андрійович , Комуністична партія України,10.58,7630,№1,Автономна Республіка Крим,2012
Аксенов Сергій Валерійович ," Політична партія ""Руська Єдність""",9.12,6575,№1,Автономна Республіка Крим,2012
Доценко Сергій Миколайович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.71,4838,№1,Автономна Республіка Крим,2012
Лобачев Сергій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.22,4485,№1,Автономна Республіка Крим,2012
Семенова Лариса Іванівна , Партія Зелених України,2.28,1646,№1,Автономна Республіка Крим,2012
Толкачов Володимир Володимирович ," Партія Наталії Королевської ""Україна – Вперед!""",1.55,1119,№1,Автономна Республіка Крим,2012
Пузако Володимир Іванович ," Українська партія ""Зелена планета""",1.17,847,№1,Автономна Республіка Крим,2012
Волков Олександр Петрович , самовисування,0.88,635,№1,Автономна Республіка Крим,2012
Вольнюк Олександр Григорович ," Політична партія ""Зелені""",0.76,551,№1,Автономна Республіка Крим,2012
Веселовський Сергій Михайлович , самовисування,0.69,501,№1,Автономна Республіка Крим,2012
Литвинов Анатолій Анатолійович ," Партія ""Об’єднані ліві і селяни""",0.68,492,№1,Автономна Республіка Крим,2012
Чолак Віктор Петрович , самовисування,0.61,445,№1,Автономна Республіка Крим,2012
Фесенко Сергій Вікторович , Українська морська партія,0.49,357,№1,Автономна Республіка Крим,2012
Бондаренко Володимир Анатолійович ," Політична партія ""Держава""",0.43,310,№1,Автономна Республіка Крим,2012
Жудєєв Дмитро Олександрович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.39,286,№1,Автономна Республіка Крим,2012
Басараб Віталій Геннадійович ," Політична партія ""НОВА ПОЛІТИКА""",0.29,212,№1,Автономна Республіка Крим,2012
Островський Петро Сергович ," Партія ""Віче""",0.17,128,№1,Автономна Республіка Крим,2012
Лазебніков Сергій Юрійович ," Політична партія ""Народна ініціатива""",0.15,115,№1,Автономна Республіка Крим,2012
Миримський Лев Юлійович ," Партія ""Союз""",36.45,23755,№2,Автономна Республіка Крим,2012
Кіскін Степан Степанович , Комуністична партія України,27.13,17683,№2,Автономна Республіка Крим,2012
Сидорова Абіба Іскандарівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,5753,№2,Автономна Республіка Крим,2012
Калюбін Юрій Олексійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.11,3988,№2,Автономна Республіка Крим,2012
Спірідонов Олександр Юрійович ," Політична партія ""Руська Єдність""",4.12,2686,№2,Автономна Республіка Крим,2012
Аксьонова Надія Вікторівна ," Українська партія ""Зелена планета""",3.12,2034,№2,Автономна Республіка Крим,2012
Лось Анатолій Миколайович ," Політична партія України ""РУСЬ ЄДИНА""",2.1,1373,№2,Автономна Республіка Крим,2012
Андрєєва Яна Сергіївна , Партія Зелених України,1.45,951,№2,Автономна Республіка Крим,2012
Петров Анатолій Іванович , самовисування,1.4,914,№2,Автономна Республіка Крим,2012
Януцик Олексій Юрійович , самовисування,1.36,891,№2,Автономна Республіка Крим,2012
Гордієнко Сергій Володимирович ," Політична партія ""Зелені""",1.34,879,№2,Автономна Республіка Крим,2012
Щербакова Ангеліна Миколаївна ," Політична партія ""НОВА ПОЛІТИКА""",1.16,756,№2,Автономна Республіка Крим,2012
Куценко Сергій Володимирович , Молодіжна партія України,1.12,732,№2,Автономна Республіка Крим,2012
Белов Дмитро Юрійович , Українська морська партія,0.93,607,№2,Автономна Республіка Крим,2012
Пруденко Юрій Валентинович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.73,477,№2,Автономна Республіка Крим,2012
Горенкін Валерій Анатолійович ," Партія ""Віче""",0.65,427,№2,Автономна Республіка Крим,2012
Золотарьов Павло Олександрович ," Партія ""Об’єднані ліві і селяни""",0.59,391,№2,Автономна Республіка Крим,2012
Судраб Андрій Володимирович ," Політична партія ""Всеукраїнське об’єднання ""ЦЕНТР""",0.56,366,№2,Автономна Республіка Крим,2012
Міхайлутіна Ніна Петрівна ," Політична партія ""Держава""",0.41,269,№2,Автономна Республіка Крим,2012
Новіков Віталій Сергійович ," Політична партія ""Народна ініціатива""",0.36,235,№2,Автономна Республіка Крим,2012
Нетецька Олена Анатоліївна , Партія регіонів,50.37,39498,№3,Автономна Республіка Крим,2012
Шкляр Володимир Борисович , самовисування,20.48,16059,№3,Автономна Республіка Крим,2012
Гавриш Микола Миколайович , Комуністична партія України,9.36,7340,№3,Автономна Республіка Крим,2012
Багатирли Еміне Бахтіярівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",9.28,7276,№3,Автономна Республіка Крим,2012
