deputat,perc_for,votes_for,tvo,oblast,year,info,proposed,registration,gender,age,birthday,job,city_living,party,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,average_age,pop_change,region_ideology,previous,ever,funding,power_status,party_ideology,prop_election_forecast,fixed_previous,funding_fixed,true_prob,true_prob_sum,true_prob_two_1
Кудлаєнко Сергій Володимирович,,,11,Вінницька область,2019,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-24,M,44.0,1975-10-13,Other,проживає в селі Агрономічне Вінницького району Вінницької області,Other,11.0,,0.0,0,,41.1,-4.7,grey,True,True,0.0,no,grey,,,0.0,0.72215027,2.0414743,0.3537396
Гижко Андрій Петрович,,,11,Вінницька область,2019,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,2019-06-24,M,41.0,1978-06-27,заступник голови,проживає в селі Березино Вінницького району Вінницької області,політична партія європейська солідарність,11.0,Порошенко Петро,28.389383264826304,33083,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.26073328,2.0414743,0.12771812
Скрипченко Валерій Володимирович,,,11,Вінницька область,2019,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,2019-06-25,M,44.0,1975-03-06,підприємець,проживає в місті Вінниці,політична партія всеукраїнське обєднання свобода,11.0,Кошулинський Руслан,1.37900852119142,1607,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.35029873,2.0414743,0.17159106
Шулікін Олег Миколайович,,,11,Вінницька область,2019,"народився 24 серпня 1966 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Агрономічненський сільський голова, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-22,M,53.0,1966-08-24,голова,проживає в селі Агрономічне Вінницького району Вінницької області,Other,11.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.48181117,2.0414743,0.23601137
Кістіон Володимир Євсевійович,,,11,Вінницька область,2019,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,2019-06-12,M,54.0,1965-05-31,Other,проживає в місті Києві,Other,11.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.22648078,2.0414743,0.110939816
Околіта Володимир Олександрович,,,12,Вінницька область,2019,"народився 23 листопада 1972 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Вінницька обласна клінічна лікарня ім. М.І. Пирогова, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",політична партія обєднання самопоміч,2019-06-22,M,47.0,1972-11-23,Other,проживає в селі Вінницькі Хутори Вінницького району Вінницької області,політична партія обєднання самопоміч,12.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.15532607,1.1334991,0.13703236
Грушко Сергій Сергійович,,,12,Вінницька область,2019,"народився 11 липня 1990 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, житлово-будівельний кооператив ""Польський Бульвар"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,2019-06-24,M,29.0,1990-07-11,голова,проживає в місті Вінниці,політична партія опозиційна платформа  за життя,12.0,Бойко Юрій,4.64687976944655,5450,,41.1,-4.7,grey,False,False,0.0,no,blue,,,0.0,0.1651805,1.1334991,0.14572619
Білошкурський Олександр Валерійович,,,12,Вінницька область,2019,"народився 28 серпня 1975 року в місті Вінниця, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Консалтинг експерт груп ""Діктум-Фактум"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,2019-06-24,M,44.0,1975-08-28,директор,проживає в місті Вінниці,Other,12.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,1.1334991,0.20409977
Базелюк Володимир Васильович,,,12,Вінницька область,2019,"народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,2019-06-22,M,39.0,1980-04-13,підприємець,проживає в місті Вінниці,політична партія всеукраїнське обєднання свобода,12.0,Кошулинський Руслан,1.44266432475295,1692,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.35029873,1.1334991,0.30904192
Марцинковський Леонід Васильович,,,12,Вінницька область,2019,"народився 16 серпня 1977 року в смт Стрижавка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий партнер, адвокатське об’єднання ""Марцинковський і партнери"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,2019-06-18,M,42.0,1977-08-16,керуючий партнер,проживає в місті Вінниці,Other,12.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,1.1334991,0.20409977
