full_name,smd,year
Воюш Володимир Дмитрович,1,2012
Миримський Лев Юлійович,2,2012
Іванов Сергій Анатолійович,3,2012
Раханський Анатолій Варфоломійович,4,2012
Мироненко Віктор Андрійович,5,2012
Горбатов Валерій Миронович,6,2012
Франчук Ігор Анатолійович,7,2012
Шкляр Володимир Борисович,8,2012
Євдокимов Валерій Олександрович,9,2012
Франчук Анатолій Романович,10,2012
Антемюк Віктор Дмитрович,11,2012
Порошенко Петро Олексійович,12,2012
Катеринчук Микола Дмитрович,13,2012
Майстришин Володимир Якович,14,2012
Калетнік Григорій Миколайович,15,2012
Кальніченко Ігор Вікторович,16,2012
Сокирко Микола Васильович,17,2012
Одайник Микола Миколайович,18,2012
Слабенко Сергій Іванович,19,2012
Бондарчук Сергій Васильович,20,2012
Мартиненко Микола Володимирович,21,2012
Бондар Володимир Налькович,22,2012
Єремеєв Ігор Миронович,23,2012
Клименко Анатолій Володимирович,24,2012
Бичков Сергій Анатолійович,25,2012
Пінчук Віктор Михайлович,26,2012
Сергієнко Леонід Григорович,27,2012
Веретенников Віктор Олександрович,28,2012
Косьяненко Олександр Володимирович,29,2012
Анісімов В'ячеслав Олександрович,30,2012
Мовчан Володимир Петрович,31,2012
Гуров Вадим Миколайович,32,2012
Сміяненко Ігор Миколайович,33,2012
Колісник Микола Дмитрович,34,2012
Драчевський Віктор Васильович,35,2012
Деркач Леонід Васильович,36,2012
Касьянов Сергій Павлович,37,2012
Солошенко Микола Павлович,38,2012
Шевченко Олександр Олександрович,39,2012
Царьов Олег Анатолійович,40,2012
Богатирьова Раїса Василівна,41,2012
Бахтеєва Тетяна Дмитрівна,42,2012
Звягільський Юхим Леонідович,43,2012
Ландик Валентин Іванович,44,2012
Рибак Володимир Васильович,45,2012
Клюєв Андрій Петрович,46,2012
Панасовський Олег Григорович,47,2012
Янковський Микола Андрійович,48,2012
Байсаров Леонід Володимирович,49,2012
Корсаков Олексій Якович,50,2012
Комар Микола Степанович,51,2012
Скудар Георгій Маркович,52,2012
Хомутиннік Віталій Юрійович,53,2012
Авраменко Володимир Федорович,54,2012
Матвієнков Сергій Анатолійович,55,2012
Колоніарі Олександр Петрович,56,2012
Шкіря Ігор Миколайович,57,2012
Лєщинський Олександр Олегович,58,2012
Турманов Віктор Іванович,59,2012
Зубанов Володимир Олександрович,60,2012
Васильєв Геннадій Андрійович,61,2012
Васильєв Олександр Андрійович,61,2012
Коновалюк Валерій Ілліч,62,2012
