tvo,total_votes,total_people,turnover
11,83511,174574,47.837020403954774
12,82771,180863,45.76447366238534
13,75074,147888,50.7640917451044
14,81000,161469,50.16442784683128
15,74384,150784,49.33149405772495
16,64166,136920,46.863862109260886
17,81907,159420,51.37812068749216
18,77712,137336,56.58530902312576
19,70232,141688,49.568065044322736
20,87158,160384,54.34332601755786
21,77003,155008,49.67679087530966
22,80121,157264,50.94681554583376
23,80777,161463,50.02817983067328
24,73389,152574,48.10059381021668
25,68759,142948,48.10070794974396
26,67160,136669,49.14062442836342
27,62986,138256,45.55751649114686
28,65938,142880,46.14921612541993
29,68282,145047,47.0757754383062
30,73921,156999,47.083739386875074
31,89056,167214,53.258698434341625
32,88805,169104,52.51502034251112
33,73812,141366,52.21340350579348
34,73146,148228,49.346951992875844
35,76733,160360,47.850461461711156
36,80384,151308,53.1260739683295
37,73263,145780,50.255865002057895
38,77813,146279,53.194922032554224
39,73557,146910,50.06943026342658
40,66452,141692,46.89890748948423
45,13947,41904,33.2832187857961
46,67563,146244,46.198818413063094
47,58788,133159,44.14872445722783
48,66794,144804,46.127178807215266
49,60146,142984,42.06484641638225
50,66785,153678,43.45774932000677
51,676,2732,24.743777452415813
52,27735,63126,43.9359376485125
57,73327,159584,45.94884198917185
58,74396,157488,47.23915472924921
59,58394,150188,38.880602977601406
60,46505,101272,45.92088632593412
62,81846,168288,48.634483742156306
63,80460,160500,50.13084112149533
64,82136,160072,51.3119096406617
65,77012,152032,50.65512523679225
66,80622,164980,48.86774154442963
67,83766,169704,49.360062225993495
68,74122,156798,47.27228663630913
69,60803,157613,38.57740161027326
70,81349,163600,49.724327628361856
71,54805,153660,35.66640635168554
72,47858,173556,27.57496139574547
73,65033,147282,44.15542971985714
74,66013,137790,47.908411350605995
75,78978,156126,50.58606510126437
76,80362,158789,50.60929913281147
77,69929,137008,51.040085250496325
78,77696,152142,51.06808113472939
79,82147,168583,48.72792630336392
80,73994,157661,46.93234217720298
81,75220,159006,47.30639095380049
82,75156,153288,49.02927822138719
83,77295,169582,45.5797195457065
84,82915,164015,50.55330305155016
85,70878,138976,51.00017269168777
86,68168,145900,46.722412611377656
87,64736,149490,43.30456886748277
88,73197,156629,46.73272510199261
89,66315,141870,46.74349756819623
90,73382,150704,48.69280178362884
91,71804,149763,47.945086570114114
